sickCd,sickNm,sickEngNm
X152,"뜨거운 가정기기와 접촉, 학교, 기타 시설 및 공공행정 구역","Contact with hot household appliances, school, other institution and public administrative area"
X153,"뜨거운 가정기기와 접촉, 운동 및 경기장","Contact with hot household appliances, sports and athletics area"
X154,"뜨거운 가정기기와 접촉, 도로 및 고속도로","Contact with hot household appliances, street and highway"
X155,"뜨거운 가정기기와 접촉, 상업 및 서비스 구역","Contact with hot household appliances, trade and service area"
X156,"뜨거운 가정기기와 접촉, 산업 및 건설지역","Contact with hot household appliances, industrial and construction area"
X157,"뜨거운 가정기기와 접촉, 농장","Contact with hot household appliances, farm"
X158,"뜨거운 가정기기와 접촉, 기타 명시된 장소","Contact with hot household appliances, other specified places"
X159,"뜨거운 가정기기와 접촉, 상세불명 장소","Contact with hot household appliances, unspecified place"
X16,"뜨거운 난방장치, 방열기 및 파이프와 접촉","Contact with hot heating appliances, radiators and pipe"
X160,"뜨거운 난방장치, 방열기 및 파이프와 접촉, 주택","Contact with hot heating appliances, radiators and pipes, home"
X161,"뜨거운 난방장치, 방열기 및 파이프와 접촉, 집단거주시설","Contact with hot heating appliances, radiators and pipes, residential institution"
X162,"뜨거운 난방장치, 방열기 및 파이프와 접촉, 학교, 기타 시설 및 공공행정 구역","Contact with hot heating appliances, radiators and pipes, school, other institution and public administrative area"
X163,"뜨거운 난방장치, 방열기 및 파이프와 접촉, 운동 및 경기장","Contact with hot heating appliances, radiators and pipes, sports and athletics area"
X164,"뜨거운 난방장치, 방열기 및 파이프와 접촉, 도로 및 고속도로","Contact with hot heating appliances, radiators and pipes, street and highway"
X165,"뜨거운 난방장치, 방열기 및 파이프와 접촉, 상업 및 서비스 구역","Contact with hot heating appliances, radiators and pipes, trade and service area"
X166,"뜨거운 난방장치, 방열기 및 파이프와 접촉, 산업 및 건설지역","Contact with hot heating appliances, radiators and pipes, industrial and construction area"
X167,"뜨거운 난방장치, 방열기 및 파이프와 접촉, 농장","Contact with hot heating appliances, radiators and pipes, farm"
X168,"뜨거운 난방장치, 방열기 및 파이프와 접촉, 기타 명시된 장소","Contact with hot heating appliances, radiators and pipes, other specified places"
X169,"뜨거운 난방장치, 방열기 및 파이프와 접촉, 상세불명 장소","Contact with hot heating appliances, radiators and pipes, unspecified place"
X17,"뜨거운 엔진, 기계 및 공구와 접촉","Contact with hot engines, machinery and tools"
X170,"뜨거운 엔진, 기계 및 공구와 접촉, 주택","Contact with hot engines, machinery and tools, home"
X171,"뜨거운 엔진, 기계 및 공구와 접촉, 집단거주시설","Contact with hot engines, machinery and tools, residential institution"
X172,"뜨거운 엔진, 기계 및 공구와 접촉, 학교, 기타 시설 및 공공행정 구역","Contact with hot engines, machinery and tools, school, other institution and public administrative area"
X173,"뜨거운 엔진, 기계 및 공구와 접촉, 운동 및 경기장","Contact with hot engines, machinery and tools, sports and athletics area"
X174,"뜨거운 엔진, 기계 및 공구와 접촉, 도로 및 고속도로","Contact with hot engines, machinery and tools, street and highway"
X175,"뜨거운 엔진, 기계 및 공구와 접촉, 상업 및 서비스 구역","Contact with hot engines, machinery and tools, trade and service area"
X176,"뜨거운 엔진, 기계 및 공구와 접촉, 산업 및 건설지역","Contact with hot engines, machinery and tools, industrial and construction area"
X177,"뜨거운 엔진, 기계 및 공구와 접촉, 농장","Contact with hot engines, machinery and tools, farm"
X178,"뜨거운 엔진, 기계 및 공구와 접촉, 기타 명시된 장소","Contact with hot engines, machinery and tools, other specified places"
X179,"뜨거운 엔진, 기계 및 공구와 접촉, 상세불명 장소","Contact with hot engines, machinery and tools, unspecified place"
X18,기타 뜨거운 금속과 접촉,Contact with other hot metals
X180,"기타 뜨거운 금속과 접촉, 주택","Contact with other hot metals, home"
X181,"기타 뜨거운 금속과 접촉, 집단거주시설","Contact with other hot metals, residential institution"
X182,"기타 뜨거운 금속과 접촉, 학교, 기타 시설 및 공공행정 구역","Contact with other hot metals, school, other institution and public administrative area"
X183,"기타 뜨거운 금속과 접촉, 운동 및 경기장","Contact with other hot metals, sports and athletics area"
X184,"기타 뜨거운 금속과 접촉, 도로 및 고속도로","Contact with other hot metals, street and highway"
X185,"기타 뜨거운 금속과 접촉, 상업 및 서비스 구역","Contact with other hot metals, trade and service area"
X186,"기타 뜨거운 금속과 접촉, 산업 및 건설지역","Contact with other hot metals, industrial and construction area"
X187,"기타 뜨거운 금속과 접촉, 농장","Contact with other hot metals, farm"
X188,"기타 뜨거운 금속과 접촉, 기타 명시된 장소","Contact with other hot metals, other specified places"
X189,"기타 뜨거운 금속과 접촉, 상세불명 장소","Contact with other hot metals, unspecified place"
X19,기타 및 상세불명의 열 및 뜨거운 물질과 접촉,Contact with other and unspecified heat and hot substances
X190,"기타 및 상세불명의 열 및 뜨거운 물질과 접촉, 주택","Contact with other and unspecified heat and hot substances, home"
X191,"기타 및 상세불명의 열 및 뜨거운 물질과 접촉, 집단거주시설","Contact with other and unspecified heat and hot substances, residential institution"
X192,"기타 및 상세불명의 열 및 뜨거운 물질과 접촉, 학교, 기타 시설 및 공공행정 구역","Contact with other and unspecified heat and hot substances, school, other institution and public administrative area"
X193,"기타 및 상세불명의 열 및 뜨거운 물질과 접촉, 운동 및 경기장","Contact with other and unspecified heat and hot substances, sports and athletics area"
X194,"기타 및 상세불명의 열 및 뜨거운 물질과 접촉, 도로 및 고속도로","Contact with other and unspecified heat and hot substances, street and highway"
X195,"기타 및 상세불명의 열 및 뜨거운 물질과 접촉, 상업 및 서비스 구역","Contact with other and unspecified heat and hot substances, trade and service area"
X196,"기타 및 상세불명의 열 및 뜨거운 물질과 접촉, 산업 및 건설지역","Contact with other and unspecified heat and hot substances, industrial and construction area"
X197,"기타 및 상세불명의 열 및 뜨거운 물질과 접촉, 농장","Contact with other and unspecified heat and hot substances, farm"
X198,"기타 및 상세불명의 열 및 뜨거운 물질과 접촉, 기타 명시된 장소","Contact with other and unspecified heat and hot substances, other specified places"
X199,"기타 및 상세불명의 열 및 뜨거운 물질과 접촉, 상세불명 장소","Contact with other and unspecified heat and hot substances, unspecified place"
X20,독액성 뱀 및 도마뱀과 접촉,Contact with venomous snakes and lizards
X200,"독액성 뱀 및 도마뱀과 접촉, 주택","Contact with venomous snakes and lizards, home"
X201,"독액성 뱀 및 도마뱀과 접촉, 집단거주시설","Contact with venomous snakes and lizards, residential institution"
X202,"독액성 뱀 및 도마뱀과 접촉, 학교, 기타 시설 및 공공행정 구역","Contact with venomous snakes and lizards, school, other institution and public administrative area"
X203,"독액성 뱀 및 도마뱀과 접촉, 운동 및 경기장","Contact with venomous snakes and lizards, sports and athletics area"
X204,"독액성 뱀 및 도마뱀과 접촉, 도로 및 고속도로","Contact with venomous snakes and lizards, street and highway"
X205,"독액성 뱀 및 도마뱀과 접촉, 상업 및 서비스 구역","Contact with venomous snakes and lizards, trade and service area"
X206,"독액성 뱀 및 도마뱀과 접촉, 산업 및 건설지역","Contact with venomous snakes and lizards, industrial and construction area"
X207,"독액성 뱀 및 도마뱀과 접촉, 농장","Contact with venomous snakes and lizards, farm"
X208,"독액성 뱀 및 도마뱀과 접촉, 기타 명시된 장소","Contact with venomous snakes and lizards, other specified places"
X209,"독액성 뱀 및 도마뱀과 접촉, 상세불명 장소","Contact with venomous snakes and lizards, unspecified place"
X21,독거미와 접촉,Contact with venomous spiders
X210,"독거미와 접촉, 주택","Contact with venomous spiders, home"
X211,"독거미와 접촉, 집단거주시설","Contact with venomous spiders, residential institution"
X212,"독거미와 접촉, 학교, 기타 시설 및 공공행정 구역","Contact with venomous spiders, school, other institution and public administrative area"
X213,"독거미와 접촉, 운동 및 경기장","Contact with venomous spiders, sports and athletics area"
X214,"독거미와 접촉, 도로 및 고속도로","Contact with venomous spiders, street and highway"
X215,"독거미와 접촉, 상업 및 서비스 구역","Contact with venomous spiders, trade and service area"
X216,"독거미와 접촉, 산업 및 건설지역","Contact with venomous spiders, industrial and construction area"
X217,"독거미와 접촉, 농장","Contact with venomous spiders, farm"
X218,"독거미와 접촉, 기타 명시된 장소","Contact with venomous spiders, other specified places"
X219,"독거미와 접촉, 상세불명 장소","Contact with venomous spiders, unspecified place"
X22,전갈과 접촉,Contact with scorpions
X220,"전갈과 접촉, 주택","Contact with scorpions, home"
X221,"전갈과 접촉, 집단거주시설","Contact with scorpions, residential institution"
X222,"전갈과 접촉, 학교, 기타 시설 및 공공행정 구역","Contact with scorpions, school, other institution and public administrative area"
X223,"전갈과 접촉, 운동 및 경기장","Contact with scorpions, sports and athletics area"
X224,"전갈과 접촉, 도로 및 고속도로","Contact with scorpions, street and highway"
X225,"전갈과 접촉, 상업 및 서비스 구역","Contact with scorpions, trade and service area"
X226,"전갈과 접촉, 산업 및 건설지역","Contact with scorpions, industrial and construction area"
X227,"전갈과 접촉, 농장","Contact with scorpions, farm"
X228,"전갈과 접촉, 기타 명시된 장소","Contact with scorpions, other specified places"
X229,"전갈과 접촉, 상세불명 장소","Contact with scorpions, unspecified place"
X23,"장수말벌, 말벌 및 꿀벌과 접촉","Contact with hornets, wasps and bees"
X230,"장수말벌, 말벌 및 꿀벌과 접촉, 주택","Contact with hornets, wasps and bees, home"
X231,"장수말벌, 말벌 및 꿀벌과 접촉, 집단거주시설","Contact with hornets, wasps and bees, residential institution"
X232,"장수말벌, 말벌 및 꿀벌과 접촉, 학교, 기타 시설 및 공공행정 구역","Contact with hornets, wasps and bees, school, other institution and public administrative area"
X233,"장수말벌, 말벌 및 꿀벌과 접촉, 운동 및 경기장","Contact with hornets, wasps and bees, sports and athletics area"
X234,"장수말벌, 말벌 및 꿀벌과 접촉, 도로 및 고속도로","Contact with hornets, wasps and bees, street and highway"
X235,"장수말벌, 말벌 및 꿀벌과 접촉, 상업 및 서비스 구역","Contact with hornets, wasps and bees, trade and service area"
X236,"장수말벌, 말벌 및 꿀벌과 접촉, 산업 및 건설지역","Contact with hornets, wasps and bees, industrial and construction area"
X237,"장수말벌, 말벌 및 꿀벌과 접촉, 농장","Contact with hornets, wasps and bees, farm"
X238,"장수말벌, 말벌 및 꿀벌과 접촉, 기타 명시된 장소","Contact with hornets, wasps and bees, other specified places"
X239,"장수말벌, 말벌 및 꿀벌과 접촉, 상세불명 장소","Contact with hornets, wasps and bees, unspecified place"
X24,지네 및 독액성 노래기(열대성)와 접촉,Contact with centipedes and venomous millipedes (tropical)
X240,"지네 및 독액성 노래기(열대성)와 접촉, 주택","Contact with centipedes and venomous millipedes (tropical), home"
X241,"지네 및 독액성 노래기(열대성)와 접촉, 집단거주시설","Contact with centipedes and venomous millipedes (tropical), residential institution"
X242,"지네 및 독액성 노래기(열대성)와 접촉, 학교, 기타 시설 및 공공행정 구역","Contact with centipedes and venomous millipedes (tropical), school, other institution and public administrative area"
X243,"지네 및 독액성 노래기(열대성)와 접촉, 운동 및 경기장","Contact with centipedes and venomous millipedes (tropical), sports and athletics area"
X244,"지네 및 독액성 노래기(열대성)와 접촉, 도로 및 고속도로","Contact with centipedes and venomous millipedes (tropical), street and highway"
X245,"지네 및 독액성 노래기(열대성)와 접촉, 상업 및 서비스 구역","Contact with centipedes and venomous millipedes (tropical), trade and service area"
X246,"지네 및 독액성 노래기(열대성)와 접촉, 산업 및 건설지역","Contact with centipedes and venomous millipedes (tropical), industrial and construction area"
X247,"지네 및 독액성 노래기(열대성)와 접촉, 농장","Contact with centipedes and venomous millipedes (tropical), farm"
X248,"지네 및 독액성 노래기(열대성)와 접촉, 기타 명시된 장소","Contact with centipedes and venomous millipedes (tropical), other specified places"
X249,"지네 및 독액성 노래기(열대성)와 접촉, 상세불명 장소","Contact with centipedes and venomous millipedes (tropical), unspecified place"
X25,기타 독액성 절지동물과 접촉,Contact with other venomous arthropods
X250,"기타 독액성 절지동물과 접촉, 주택","Contact with other venomous arthropods, home"
X251,"기타 독액성 절지동물과 접촉, 집단거주시설","Contact with other venomous arthropods, residential institution"
X252,"기타 독액성 절지동물과 접촉, 학교, 기타 시설 및 공공행정 구역","Contact with other venomous arthropods, school, other institution and public administrative area"
X253,"기타 독액성 절지동물과 접촉, 운동 및 경기장","Contact with other venomous arthropods, sports and athletics area"
X254,"기타 독액성 절지동물과 접촉, 도로 및 고속도로","Contact with other venomous arthropods, street and highway"
X255,"기타 독액성 절지동물과 접촉, 상업 및 서비스 구역","Contact with other venomous arthropods, trade and service area"
X256,"기타 독액성 절지동물과 접촉, 산업 및 건설지역","Contact with other venomous arthropods, industrial and construction area"
X257,"기타 독액성 절지동물과 접촉, 농장","Contact with other venomous arthropods, farm"
X258,"기타 독액성 절지동물과 접촉, 기타 명시된 장소","Contact with other venomous arthropods, other specified places"
X259,"기타 독액성 절지동물과 접촉, 상세불명 장소","Contact with other venomous arthropods, unspecified place"
X26,독액성 해양동물 및 식물과 접촉,Contact with venomous marine animals and plants
X260,"독액성 해양동물 및 식물과 접촉, 주택","Contact with venomous marine animals and plants, home"
X261,"독액성 해양동물 및 식물과 접촉, 집단거주시설","Contact with venomous marine animals and plants, residential institution"
X262,"독액성 해양동물 및 식물과 접촉, 학교, 기타 시설 및 공공행정 구역","Contact with venomous marine animals and plants, school, other institution and public administrative area"
X263,"독액성 해양동물 및 식물과 접촉, 운동 및 경기장","Contact with venomous marine animals and plants, sports and athletics area"
X264,"독액성 해양동물 및 식물과 접촉, 도로 및 고속도로","Contact with venomous marine animals and plants, street and highway"
X265,"독액성 해양동물 및 식물과 접촉, 상업 및 서비스 구역","Contact with venomous marine animals and plants, trade and service area"
X266,"독액성 해양동물 및 식물과 접촉, 산업 및 건설지역","Contact with venomous marine animals and plants, industrial and construction area"
X267,"독액성 해양동물 및 식물과 접촉, 농장","Contact with venomous marine animals and plants, farm"
X268,"독액성 해양동물 및 식물과 접촉, 기타 명시된 장소","Contact with venomous marine animals and plants, other specified places"
X269,"독액성 해양동물 및 식물과 접촉, 상세불명 장소","Contact with venomous marine animals and plants, unspecified place"
X27,기타 명시된 독액성 동물과 접촉,Contact with other specified venomous animals
X270,"기타 명시된 독액성 동물과 접촉, 주택","Contact with other specified venomous animals, home"
X271,"기타 명시된 독액성 동물과 접촉, 집단거주시설","Contact with other specified venomous animals, residential institution"
X272,"기타 명시된 독액성 동물과 접촉, 학교, 기타 시설 및 공공행정 구역","Contact with other specified venomous animals, school, other institution and public administrative area"
X273,"기타 명시된 독액성 동물과 접촉, 운동 및 경기장","Contact with other specified venomous animals, sports and athletics area"
X274,"기타 명시된 독액성 동물과 접촉, 도로 및 고속도로","Contact with other specified venomous animals, street and highway"
X275,"기타 명시된 독액성 동물과 접촉, 상업 및 서비스 구역","Contact with other specified venomous animals, trade and service area"
X276,"기타 명시된 독액성 동물과 접촉, 산업 및 건설지역","Contact with other specified venomous animals, industrial and construction area"
X277,"기타 명시된 독액성 동물과 접촉, 농장","Contact with other specified venomous animals, farm"
X278,"기타 명시된 독액성 동물과 접촉, 기타 명시된 장소","Contact with other specified venomous animals, other specified places"
X279,"기타 명시된 독액성 동물과 접촉, 상세불명 장소","Contact with other specified venomous animals, unspecified place"
X28,기타 명시된 독액성 식물과 접촉,Contact with other specified venomous plants
X280,"기타 명시된 독액성 식물과 접촉, 주택","Contact with other specified venomous plants, home"
X281,"기타 명시된 독액성 식물과 접촉, 집단거주시설","Contact with other specified venomous plants, residential institution"
X282,"기타 명시된 독액성 식물과 접촉, 학교, 기타 시설 및 공공행정 구역","Contact with other specified venomous plants, school, other institution and public administrative area"
X283,"기타 명시된 독액성 식물과 접촉, 운동 및 경기장","Contact with other specified venomous plants, sports and athletics area"
X284,"기타 명시된 독액성 식물과 접촉, 도로 및 고속도로","Contact with other specified venomous plants, street and highway"
X285,"기타 명시된 독액성 식물과 접촉, 상업 및 서비스 구역","Contact with other specified venomous plants, trade and service area"
X286,"기타 명시된 독액성 식물과 접촉, 산업 및 건설지역","Contact with other specified venomous plants, industrial and construction area"
X287,"기타 명시된 독액성 식물과 접촉, 농장","Contact with other specified venomous plants, farm"
X288,"기타 명시된 독액성 식물과 접촉, 기타 명시된 장소","Contact with other specified venomous plants, other specified places"
X289,"기타 명시된 독액성 식물과 접촉, 상세불명 장소","Contact with other specified venomous plants, unspecified place"
X29,상세불명의 독액성 동물 또는 식물과 접촉,Contact with unspecified venomous animal or plant
X290,"상세불명의 독액성 동물 및 식물과 접촉, 주택","Contact with unspecified venomous animals and plants, home"
X291,"상세불명의 독액성 동물 및 식물과 접촉, 집단거주시설","Contact with unspecified venomous animals and plants, residential institution"
X292,"상세불명의 독액성 동물 및 식물과 접촉, 학교, 기타 시설 및 공공행정 구역","Contact with unspecified venomous animals and plants, school, other institution and public administrative area"
X293,"상세불명의 독액성 동물 및 식물과 접촉, 운동 및 경기장","Contact with unspecified venomous animals and plants, sports and athletics area"
X294,"상세불명의 독액성 동물 및 식물과 접촉, 도로 및 고속도로","Contact with unspecified venomous animals and plants, street and highway"
X295,"상세불명의 독액성 동물 및 식물과 접촉, 상업 및 서비스 구역","Contact with unspecified venomous animals and plants, trade and service area"
X296,"상세불명의 독액성 동물 및 식물과 접촉, 산업 및 건설지역","Contact with unspecified venomous animals and plants, industrial and construction area"
X297,"상세불명의 독액성 동물 및 식물과 접촉, 농장","Contact with unspecified venomous animals and plants, farm"
X298,"상세불명의 독액성 동물 및 식물과 접촉, 기타 명시된 장소","Contact with unspecified venomous animals and plants, other specified places"
X299,"상세불명의 독액성 동물 및 식물과 접촉, 상세불명 장소","Contact with unspecified venomous animals and plants, unspecified place"
X30,과다한 자연열에 노출,Exposure to excessive natural heat
X300,"과다한 자연열에 노출, 주택","Exposure to excessive natural heat, home"
X301,"과다한 자연열에 노출, 집단거주시설","Exposure to excessive natural heat, residential institution"
X302,"과다한 자연열에 노출, 학교, 기타 시설 및 공공행정 구역","Exposure to excessive natural heat, school, other institution and public administrative area"
X303,"과다한 자연열에 노출, 운동 및 경기장","Exposure to excessive natural heat, sports and athletics area"
X304,"과다한 자연열에 노출, 도로 및 고속도로","Exposure to excessive natural heat, street and highway"
X305,"과다한 자연열에 노출, 상업 및 서비스 구역","Exposure to excessive natural heat, trade and service area"
X306,"과다한 자연열에 노출, 산업 및 건설지역","Exposure to excessive natural heat, industrial and construction area"
X307,"과다한 자연열에 노출, 농장","Exposure to excessive natural heat, farm"
X308,"과다한 자연열에 노출, 기타 명시된 장소","Exposure to excessive natural heat, other specified places"
X309,"과다한 자연열에 노출, 상세불명 장소","Exposure to excessive natural heat, unspecified place"
X31,과다한 자연한랭에 노출,Exposure to excessive natural cold
X310,"과다한 자연한랭에 노출, 주택","Exposure to excessive natural cold, home"
X311,"과다한 자연한랭에 노출, 집단거주시설","Exposure to excessive natural cold, residential institution"
X312,"과다한 자연한랭에 노출, 학교, 기타 시설 및 공공행정 구역","Exposure to excessive natural cold, school, other institution and public administrative area"
X313,"과다한 자연한랭에 노출, 운동 및 경기장","Exposure to excessive natural cold, sports and athletics area"
X314,"과다한 자연한랭에 노출, 도로 및 고속도로","Exposure to excessive natural cold, street and highway"
X315,"과다한 자연한랭에 노출, 상업 및 서비스 구역","Exposure to excessive natural cold, trade and service area"
X316,"과다한 자연한랭에 노출, 산업 및 건설지역","Exposure to excessive natural cold, industrial and construction area"
X317,"과다한 자연한랭에 노출, 농장","Exposure to excessive natural cold, farm"
X318,"과다한 자연한랭에 노출, 기타 명시된 장소","Exposure to excessive natural cold, other specified places"
X319,"과다한 자연한랭에 노출, 상세불명 장소","Exposure to excessive natural cold, unspecified place"
X32,일광에 노출,Exposure to sunlight
X320,"일광에 노출, 주택","Exposure to sunlight, home"
X321,"일광에 노출, 집단거주시설","Exposure to sunlight, residential institution"
X322,"일광에 노출, 학교, 기타 시설 및 공공행정 구역","Exposure to sunlight, school, other institution and public administrative area"
X323,"일광에 노출, 운동 및 경기장","Exposure to sunlight, sports and athletics area"
X324,"일광에 노출, 도로 및 고속도로","Exposure to sunlight, street and highway"
X325,"일광에 노출, 상업 및 서비스 구역","Exposure to sunlight, trade and service area"
X326,"일광에 노출, 산업 및 건설지역","Exposure to sunlight, industrial and construction area"
X327,"일광에 노출, 농장","Exposure to sunlight, farm"
X328,"일광에 노출, 기타 명시된 장소","Exposure to sunlight, other specified places"
X329,"일광에 노출, 상세불명 장소","Exposure to sunlight, unspecified place"
X33,벼락에 의한 피해,Victim of lightning
X330,"벼락에 의한 피해, 주택","Victim of lightning, home"
X331,"벼락에 의한 피해, 집단거주시설","Victim of lightning, residential institution"
X332,"벼락에 의한 피해, 학교, 기타 시설 및 공공행정 구역","Victim of lightning, school, other institution and public administrative area"
X333,"벼락에 의한 피해, 운동 및 경기장","Victim of lightning, sports and athletics area"
X334,"벼락에 의한 피해, 도로 및 고속도로","Victim of lightning, street and highway"
X335,"벼락에 의한 피해, 상업 및 서비스 구역","Victim of lightning, trade and service area"
X336,"벼락에 의한 피해, 산업 및 건설지역","Victim of lightning, industrial and construction area"
X337,"벼락에 의한 피해, 농장","Victim of lightning, farm"
X338,"벼락에 의한 피해, 기타 명시된 장소","Victim of lightning, other specified places"
X339,"벼락에 의한 피해, 상세불명 장소","Victim of lightning, unspecified place"
X34,지진에 의한 피해,Victim of earthquake
X340,지진에 의한 격변적 지각운동의 피해,Victim of cataclysmic earth movements caused by earthquake
X341,지진해일에 의한 피해,Victim of tsunami
X342,"지진에 의한 피해, 학교, 기타 시설 및 공공행정 구역","Victim of earthquake, school, other institution and public administrative area"
X343,"지진에 의한 피해, 운동 및 경기장","Victim of earthquake, sports and athletics area"
X344,"지진에 의한 피해, 도로","Victim of earthquake, street and highway"
X345,"지진에 의한 피해, 상업 및 서비스 구역","Victim of earthquake, trade and service area"
X346,"지진에 의한 피해, 산업 및 건설지역","Victim of earthquake, industrial and construction area"
X347,"지진에 의한 피해, 농장","Victim of earthquake, farm"
X348,지진의 기타 명시된 영향의 피해,Victim of other specified effects of earthquake
X349,지진의 상세불명 영향의 피해,Victim of unspecified effect of earthquake
X35,화산폭발에 의한 피해,Victim of volcanic eruption
X350,"화산폭발에 의한 피해, 주택","Victim of volcanic eruption, home"
X351,"화산폭발에 의한 피해, 집단거주시설","Victim of volcanic eruption, residential institution"
X352,"화산폭발에 의한 피해, 학교, 기타 시설 및 공공행정 구역","Victim of volcanic eruption, school, other institution and public administrative area"
X353,"화산폭발에 의한 피해, 운동 및 경기장","Victim of volcanic eruption, sports and athletics area"
X354,"화산폭발에 의한 피해, 도로 및 고속도로","Victim of volcanic eruption, street and highway"
X355,"화산폭발에 의한 피해, 상업 및 서비스 구역","Victim of volcanic eruption, trade and service area"
X356,"화산폭발에 의한 피해, 산업 및 건설지역","Victim of volcanic eruption, industrial and construction area"
X357,"화산폭발에 의한 피해, 농장","Victim of volcanic eruption, farm"
X358,"화산폭발에 의한 피해, 기타 명시된 장소","Victim of volcanic eruption, other specified places"
X359,"화산폭발에 의한 피해, 상세불명 장소","Victim of volcanic eruption, unspecified place"
X36,"눈사태, 산사태 및 기타 지각운동에 의한 피해","Victim of avalanche, landslide and other earth movements"
X360,"눈사태, 산사태 및 기타 지각운동에 의한 피해, 주택","Victim of avalanche, landslide and other earth movements, home"
X361,"눈사태, 산사태 및 기타 지각운동에 의한 피해, 집단거주시설","Victim of avalanche, landslide and other earth movements, residential institution"
X362,"눈사태, 산사태 및 기타 지각운동에 의한 피해, 학교, 기타 시설 및 공공행정 구역","Victim of avalanche, landslide and other earth movements, school, other institution and public administrative area"
X363,"눈사태, 산사태 및 기타 지각운동에 의한 피해, 운동 및 경기장","Victim of avalanche, landslide and other earth movements, sports and athletics area"
X364,"눈사태, 산사태 및 기타 지각운동에 의한 피해, 도로 및 고속도로","Victim of avalanche, landslide and other earth movements, street and highway"
X365,"눈사태, 산사태 및 기타 지각운동에 의한 피해, 상업 및 서비스 구역","Victim of avalanche, landslide and other earth movements, trade and service area"
X366,"눈사태, 산사태 및 기타 지각운동에 의한 피해, 산업 및 건설지역","Victim of avalanche, landslide and other earth movements, industrial and construction area"
X367,"눈사태, 산사태 및 기타 지각운동에 의한 피해, 농장","Victim of avalanche, landslide and other earth movements, farm"
X368,"눈사태, 산사태 및 기타 지각운동에 의한 피해, 기타 명시된 장소","Victim of avalanche, landslide and other earth movements, other specified places"
X369,"눈사태, 산사태 및 기타 지각운동에 의한 피해, 상세불명 장소","Victim of avalanche, landslide and other earth movements, unspecified place"
X37,지각변동 폭풍의 피해,Victim of cataclysmic storm
X370,"지각변동 폭풍의 피해, 주택","Victim of cataclysmic storm, home"
X371,"지각변동 폭풍의 피해, 집단거주시설","Victim of cataclysmic storm, residential institution"
X372,"지각변동 폭풍의 피해, 학교, 기타 시설 및 공공행정 구역","Victim of cataclysmic storm, school, other institution and public administrative area"
X373,"지각변동 폭풍의 피해, 운동 및 경기장","Victim of cataclysmic storm, sports and athletics area"
X374,"지각변동 폭풍의 피해, 도로 및 고속도로","Victim of cataclysmic storm, street and highway"
X375,"지각변동 폭풍의 피해, 상업 및 서비스 구역","Victim of cataclysmic storm, trade and service area"
X376,"지각변동 폭풍의 피해, 산업 및 건설지역","Victim of cataclysmic storm, industrial and construction area"
X377,"지각변동 폭풍의 피해, 농장","Victim of cataclysmic storm, farm"
X378,"지각변동 폭풍의 피해, 기타 명시된 장소","Victim of cataclysmic storm, other specified places"
X379,"지각변동 폭풍의 피해, 상세불명 장소","Victim of cataclysmic storm, unspecified place"
X38,홍수의 피해,Victim of flood
X380,"홍수의 피해, 주택","Victim of flood, home"
X381,"홍수의 피해, 집단거주시설","Victim of flood, residential institution"
X382,"홍수의 피해, 학교, 기타 시설 및 공공행정 구역","Victim of flood, school, other institution and public administrative area"
X383,"홍수의 피해, 운동 및 경기장","Victim of flood, sports and athletics area"
X384,"홍수의 피해, 도로 및 고속도로","Victim of flood, street and highway"
X385,"홍수의 피해, 상업 및 서비스 구역","Victim of flood, trade and service area"
X386,"홍수의 피해, 산업 및 건설지역","Victim of flood, industrial and construction area"
X387,"홍수의 피해, 농장","Victim of flood, farm"
X388,"홍수의 피해, 기타 명시된 장소","Victim of flood, other specified places"
X389,"홍수의 피해, 상세불명 장소","Victim of flood, unspecified place"
X39,자연의 기타 및 상세불명 힘에 노출,Exposure to other and unspecified forces of nature
X390,"자연의 기타 및 상세불명 힘에 노출, 주택","Exposure to other and unspecified forces of nature, home"
X391,"자연의 기타 및 상세불명 힘에 노출, 집단거주시설","Exposure to other and unspecified forces of nature, residential institution"
X392,"자연의 기타 및 상세불명 힘에 노출, 학교, 기타 시설 및 공공행정 구역","Exposure to other and unspecified forces of nature, school, other institution and public administrative area"
X393,"자연의 기타 및 상세불명 힘에 노출, 운동 및 경기장","Exposure to other and unspecified forces of nature, sports and athletics area"
X394,"자연의 기타 및 상세불명 힘에 노출, 도로 및 고속도로","Exposure to other and unspecified forces of nature, street and highway"
X395,"자연의 기타 및 상세불명 힘에 노출, 상업 및 서비스 구역","Exposure to other and unspecified forces of nature, trade and service area"
X396,"자연의 기타 및 상세불명 힘에 노출, 산업 및 건설지역","Exposure to other and unspecified forces of nature, industrial and construction area"
X397,"자연의 기타 및 상세불명 힘에 노출, 농장","Exposure to other and unspecified forces of nature, farm"
X398,"자연의 기타 및 상세불명 힘에 노출, 기타 명시된 장소","Exposure to other and unspecified forces of nature, other specified places"
X399,"자연의 기타 및 상세불명 힘에 노출, 상세불명 장소","Exposure to other and unspecified forces of nature, unspecified place"
X40,"비아편유사진통제, 해열제 및 항류마티스제에 의한 불의의 중독 및 노출","Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"
X400,"비아편유사진통제, 해열제 및 항류마티스제에 의한 불의의 중독 및 노출, 주택","Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, home"
